id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2179,Dil Mein Sanam Ki Soorat,"Alka Yagnik, Kumar Sanu", Romantic,Phir Teri Kahani Yaad Aayi,9.1
2180,Tanhai Tanhai,"Alka Yagnik, Udit Narayan", Dance,Koyla,8.8
2181,Woh Dekho Jala Ghar Kisi Ka,Lata Mangeshkar, Sad,Anpadh,8.6
2182,Zara Nazron Se Kah Do Ji,Hemant Kumar, Romantic,Bees Saal Baad,9
2183,Chaar Botal Vodka (Remix),Yo Yo Honey Singh, Dance,Ragini MMS 2,9.1
2184,Jab Tumhein Aashiqui Maloom,Kumar Sanu, Romantic,Ajnabee,9.2
2185,Yaaron Aesa Hai,Salim Merchant, Dance,Rangrezz,9.7
2186,Tere Ishq Ka Suroor,"Aaman Trikha, Akshata Dixit", Romantic,Single,9.8
2187,Ek Sawal Main Karoon,"Lata Mangeshkar, Mohammed Rafi", Dance,Sasural,8.9
2188,It’s All About Tonight,"Rahul Vaidya, Sophie Choudry, Sunidhi Chauhan", Dance,Ishkq In Paris,8.8
2189,Dil Mera Ek Aas Ka Panchhi,Subir Sen, Dance,Aas Ka Panchhi,8.9
2190,Jaane Kya Dhoondhta Hai,Lucky Ali, Dance,Sur,9.7
2191,Sanam Sanam,"Shraddha Pandit, Sukhwinder Singh", Dance,Mere Dost Picture Abhi Baki Hai,8.1
2192,Yahaan Vahaan,Farhan Akhtar, Dance,Shaadi Ke Side Effects,9.1
2193,Bambai Se Aaya Mera Dost,Bappi Lahiri, Dance,Aap Ki Khatir,8.4
2194,Dhin Tak Dhin Tak,Jaspinder Narula, Romantic,Bade Miyan Chote Miyan,8.8
2195,Tujhe Dekh Dekh,Rahat Fateh Ali Khan, ,Kalyug,9
2196,Capuchino,Abhishek Nehwal, Dance,I Me Aur Main,9.1
2197,Chalo Dildar Chalo,"Himani Kapoor, Himesh Reshammiya, Vinit", Romantic,Dil Diya Hai,9.3
2198,Mil Gayee Woh Manzilen,"Alka Yagnik, Kumar Sanu", Dance,Kabhi Na Kabhi,9.6
2199,Jaane Kya,Zubeen Garg, Sad,Pyaar Ke Side Effects,9.6
2200,Main Der Karta Nahin,"Lata Mangeshkar, Suresh Wadkar", Dance,Henna,7.9
2201,Gunday Mashup,"Bappi Lahiri, Javed Ali, Neha Bhasin", Dance,Gunday,8.2
2202,Gunday Mashup,Multiple, Dance,Gunday,8.2
2203,Sheila Ki Jawani (Remix),"Sunidhi Chauhan, Vishal Dadlani", Dance,Tees Maar Khan,8.9
2204,Laakh Duniya Kahe,"Nisha Mascarenhas, Ram Sampath", Sad,Talaash,9.6
